file,word,n
07-28-20,they’re,17
07-29-20,community,17
07-29-20,latinos,17
07-29-20,they’re,17
08-06-20,i’m,17
08-08-19,nation,17
08-17-20,that’s,17
08-17-20,you’re,17
08-21-20,people,17
09-02-20,schools,17
09-03-20,school,17
09-15-20,american,17
09-15-20,country,17
09-15-20,i’ll,17
09-15-20,veteran,17
09-18-20,country,17
09-20-20,justice,17
09-20-20,senate,17
09-21-20,country,17
09-23-20,schools,17
09-29-20,covid,17
09-29-20,masks,17
09-29-20,minutes,17
09-29-20,segment,17
09-29-20,wait,17
09-29-20,wrong,17
10-03-20,i’m,17
10-03-20,that’s,17
10-10-20,president,17
10-13-20,security,17
10-15-20,deal,17
10-15-20,home,17
10-15-20,school,17
10-16-20,people,17
10-22-20,north,17
10-22-20,pay,17
10-22-20,russia,17
10-23-20,president,17
10-28-20,care,17
10-29-20,country,17
10-29-20,people,17
10-31-20,united,17
11-02-20,america,17
11-02-20,ohio,17
11-07-20,country,17
11-10-20,american,17
11-18-20,covid,17
11-19-20,elect,17
11-19-20,that’s,17
11-20-20,team,17
11-25-20,america,17
12-01-20,country,17
12-01-20,vice,17
12-02-20,restaurant,17
12-04-20,there’s,17
12-08-20,americans,17
12-08-20,crisis,17
12-08-20,days,17
12-20-19,build,17
12-20-19,doesn’t,17
12-20-19,house,17
12-20-19,let’s,17
12-20-19,respond,17
12-23-20,schools,17
01-07-21,american,16
01-08-21,communities,16
01-08-21,family,16
01-08-21,united,16
01-08-21,we’re,16
01-15-20,agreement,16
01-15-20,beat,16
01-15-20,cost,16
01-15-20,democratic,16
01-15-20,prescription,16
01-15-20,steyer,16
01-15-20,support,16
01-15-20,there’s,16
01-26-21,nation,16
02-05-21,people,16
02-05-21,that’s,16
02-11-21,people,16
02-17-20,they’re,16
02-20-20,campaign,16
02-20-20,city,16
02-20-20,million,16
02-20-20,we’ve,16
02-23-21,covid,16
02-25-21,we’re,16
02-27-21,it’s,16
02-27-21,shots,16
03-05-21,it’s,16
03-10-20,party,16
03-10-20,united,16
03-10-20,y’all,16
03-11-21,people,16
03-16-20,american,16
03-16-20,what’s,16
03-17-21,ireland,16
03-25-20,that’s,16
03-31-21,america,16
03-31-21,time,16
04-07-21,world,16
04-09-20,there’s,16
04-09-20,virus,16
04-13-20,don’t,16
04-28-21,congress,16
04-28-21,democracy,16
04-28-21,time,16
04-29-21,georgia,16
05-07-20,community,16
05-14-20,country,16
05-20-20,communities,16
05-20-20,leadership,16
06-11-20,health,16
06-11-20,vice,16
06-17-20,people,16
06-25-20,coverage,16
06-27-20,federal,16
06-27-20,folks,16
06-27-20,million,16
06-27-20,remember,16
06-29-19,biden,16
07-03-20,00,16
07-03-20,school,16
07-03-20,vice,16
07-03-20,we’re,16
07-09-20,that’s,16
07-22-20,black,16
07-22-20,i’ve,16
07-28-20,can’t,16
07-28-20,economy,16
07-29-20,country,16
07-29-20,day,16
08-06-20,people,16
08-12-20,trump,16
08-17-20,don’t,16
09-03-20,pray,16
09-03-20,we’ve,16
09-04-20,i’ve,16
09-09-20,i’m,16
09-09-20,president,16
09-09-20,united,16
09-15-20,money,16
09-15-20,service,16
09-18-20,biden,16
09-18-20,plan,16
09-18-20,tax,16
09-18-20,workers,16
09-21-20,american,16
09-21-20,don’t,16
09-21-20,people,16
09-21-20,president,16
09-29-20,answer,16
09-29-20,can’t,16
09-29-20,care,16
09-29-20,happened,16
09-29-20,i’ll,16
09-29-20,minute,16
09-29-20,there’s,16
09-29-20,what’s,16
10-02-20,we’re,16
10-05-20,it’s,16
10-06-20,nation,16
10-08-20,vote,16
10-11-20,it’s,16
10-13-20,social,16
10-13-20,tax,16
10-15-20,can’t,16
10-15-20,crime,16
10-15-20,pennsylvania,16
10-16-20,we’re,16
10-22-20,10,16
10-22-20,crosstalk,16
10-22-20,minutes,16
10-22-20,obama,16
10-22-20,run,16
10-22-20,there’s,16
10-22-20,we’ve,16
10-25-20,people,16
10-26-20,i’m,16
10-27-20,can’t,16
10-30-20,joe,16
10-31-20,plan,16
11-01-20,we’re,16
11-10-20,healthcare,16
11-16-20,jobs,16
11-18-20,children,16
11-18-20,home,16
11-18-20,talk,16
11-24-20,national,16
11-24-20,team,16
11-25-20,we’re,16
12-01-20,america,16
12-01-20,build,16
12-01-20,it’s,16
12-02-20,money,16
12-02-20,workers,16
12-08-20,american,16
12-08-20,time,16
12-09-20,president,16
12-11-20,we’re,16
12-19-20,world,16
12-20-19,10,16
12-20-19,deal,16
12-20-19,experience,16
12-20-19,fight,16
12-20-19,middle,16
12-20-19,there’s,16
12-20-19,top,16
12-20-19,vote,16
12-29-20,it’s,16
01-04-21,senate,15
01-07-21,system,15
01-08-21,serve,15
01-14-21,people,15
01-15-20,black,15
01-15-20,buttigieg,15
01-15-20,china,15
