file,word,n
10-18-20,american,18
10-18-20,time,18
10-19-20,joe,18
10-19-20,they’re,18
10-20-20,american,18
10-20-20,job,18
10-20-20,president,18
10-21-20,can’t,18
10-21-20,didn’t,18
10-21-20,they’ll,18
10-24-20,america,18
10-24-20,i’ve,18
10-24-20,world,18
10-27-20,he’s,18
10-27-20,they’re,18
10-28-20,they’re,18
10-28-20,win,18
10-28-20,won,18
10-29-20,call,18
10-29-20,times,18
10-31-20,american,18
12-02-20,country,18
12-02-20,don’t,18
12-02-20,mail,18
12-06-20,american,18
12-06-20,court,18
01-04-21,american,17
01-04-21,cast,17
01-04-21,time,17
01-04-21,trump,17
01-12-21,wall,17
02-28-21,energy,17
02-28-21,win,17
07-13-20,people,17
07-14-20,countries,17
07-31-20,people,17
08-04-20,we’ve,17
08-07-20,china,17
08-09-20,we’ll,17
08-13-20,countries,17
08-17-20,deal,17
08-17-20,joe,17
08-19-20,deal,17
08-20-20,i’m,17
08-20-20,job,17
08-20-20,left,17
08-21-20,didn’t,17
08-21-20,israel,17
08-21-20,they’ll,17
08-24-20,farmers,17
08-28-20,i’m,17
08-28-20,night,17
08-28-20,we’ve,17
08-28-20,win,17
08-31-20,cities,17
09-04-20,russia,17
09-07-20,world,17
09-08-20,history,17
09-08-20,jobs,17
09-08-20,joe,17
09-08-20,we’ll,17
09-12-20,don’t,17
09-12-20,we’re,17
09-13-20,china,17
09-13-20,i’m,17
09-13-20,job,17
09-13-20,police,17
09-13-20,world,17
09-14-20,americans,17
09-14-20,job,17
09-17-20,ago,17
09-17-20,law,17
09-18-20,call,17
09-18-20,called,17
09-18-20,news,17
09-18-20,police,17
09-18-20,there’s,17
09-19-20,news,17
09-19-20,sir,17
09-19-20,trump,17
09-19-20,what’s,17
09-21-20,time,17
09-21-20,we’ve,17
09-21-20,you’re,17
09-22-20,left,17
09-22-20,police,17
09-22-20,wall,17
09-25-20,david,17
09-25-20,i’m,17
09-25-20,time,17
09-27-20,time,17
09-29-20,didn’t,17
09-29-20,election,17
10-09-20,china,17
10-09-20,couldn’t,17
10-09-20,fox,17
10-09-20,russia,17
10-12-20,i’ll,17
10-12-20,we’ve,17
10-13-20,america,17
10-13-20,half,17
10-13-20,law,17
10-13-20,we’ve,17
10-14-20,america,17
10-14-20,farmers,17
10-14-20,remember,17
10-16-20,happened,17
10-16-20,history,17
10-16-20,world,17
10-17-20,can’t,17
10-17-20,left,17
10-17-20,time,17
10-18-20,i’ll,17
10-20-20,america,17
10-21-20,love,17
10-21-20,we’ve,17
10-22-20,million,17
10-23-20,vote,17
10-23-20,world,17
10-24-20,love,17
10-25-20,didn’t,17
10-25-20,guy,17
10-25-20,vote,17
10-28-20,america,17
10-28-20,i’m,17
10-29-20,doesn’t,17
10-31-20,lot,17
11-01-20,i’m,17
11-02-20,half,17
11-02-20,lot,17
11-02-20,world,17
11-03-20,people,17
11-04-20,won,17
11-26-20,election,17
11-26-20,tremendous,17
12-02-20,thousands,17
12-06-20,love,17
12-06-20,remember,17
12-07-20,that’s,17
12-08-20,vaccine,17
01-04-21,history,16
01-12-21,law,16
01-19-21,nation,16
02-28-21,happen,16
02-28-21,joe,16
07-13-20,don’t,16
07-13-20,we’ll,16
07-14-20,american,16
